id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,batting_first_team,chasing_team,batting_first_won,chasing_won,toss_winner_won
531,2015,Visakhapatnam,,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,normal,0,Delhi Capitals,4,0,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,,Delhi Capitals,Sunrisers Hyderabad,1,0,1
532,2015,Pune,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,AD Russell,Maharashtra Cricket Association Stadium,SD Fry,CK Nandan,,Kolkata Knight Riders,Punjab Kings,1,0,1
533,2015,Ahmedabad,,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,0,8,AM Rahane,"Sardar Patel Stadium, Motera",AK Chaudhary,M Erasmus,,Chennai Super Kings,Rajasthan Royals,0,1,0
534,2015,Bangalore,,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,18,0,Harbhajan Singh,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni,,Royal Challengers Bangalore,Mumbai Indians,0,1,0
535,2015,Delhi,,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,UT Yadav,Feroz Shah Kotla,SD Fry,CB Gaffaney,,Kolkata Knight Riders,Delhi Capitals,1,0,1
536,2015,Ahmedabad,,Rajasthan Royals,Punjab Kings,Punjab Kings,field,tie,0,Tie,0,0,SE Marsh,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,,Punjab Kings,Rajasthan Royals,0,0,0
537,2015,Visakhapatnam,,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Sunrisers Hyderabad,16,0,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RK Illingworth,VA Kulkarni,,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,0
538,2015,Bangalore,,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,27,0,SK Raina,M Chinnaswamy Stadium,JD Cloete,C Shamshuddin,,Royal Challengers Bangalore,Chennai Super Kings,0,1,0
539,2015,Delhi,,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Capitals,37,0,SS Iyer,Feroz Shah Kotla,SD Fry,CK Nandan,,Mumbai Indians,Delhi Capitals,0,1,0
540,2015,Ahmedabad,,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,MA Starc,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,,Royal Challengers Bangalore,Rajasthan Royals,1,0,1
541,2015,Mumbai,,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,20,0,SL Malinga,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney,,Mumbai Indians,Sunrisers Hyderabad,1,0,1
542,2015,Chennai,,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,97,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",JD Cloete,C Shamshuddin,,Chennai Super Kings,Punjab Kings,1,0,1
543,2015,Delhi,,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,10,VR Aaron,Feroz Shah Kotla,M Erasmus,S Ravi,,Royal Challengers Bangalore,Delhi Capitals,1,0,1
544,2015,Mohali,,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,normal,0,Sunrisers Hyderabad,20,0,TA Boult,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,CB Gaffaney,,Punjab Kings,Sunrisers Hyderabad,0,1,0
545,2015,Kolkata,2015-07-05,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,13,0,PP Chawla,Eden Gardens,AK Chaudhary,M Erasmus,,Kolkata Knight Riders,Delhi Capitals,1,0,1
546,2015,Bangalore,,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,no result,0,No Result,0,0,Not Awarded,M Chinnaswamy Stadium,JD Cloete,PG Pathak,,Rajasthan Royals,Royal Challengers Bangalore,0,0,0
547,2015,Chennai,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,2,0,DJ Bravo,"MA Chidambaram Stadium, Chepauk",RM Deshpande,VA Kulkarni,,Kolkata Knight Riders,Chennai Super Kings,0,1,0
548,2015,Delhi,2015-01-05,Punjab Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,9,NM Coulter-Nile,Feroz Shah Kotla,RK Illingworth,S Ravi,,Delhi Capitals,Punjab Kings,1,0,1
549,2015,Mumbai,2015-01-05,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,8,0,AT Rayudu,Wankhede Stadium,HDPK Dharmasena,CK Nandan,,Rajasthan Royals,Mumbai Indians,0,1,0
550,2015,Bangalore,2015-02-05,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,Mandeep Singh,M Chinnaswamy Stadium,JD Cloete,PG Pathak,,Royal Challengers Bangalore,Kolkata Knight Riders,1,0,1
551,2015,Hyderabad,2015-02-05,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,0,Sunrisers Hyderabad,22,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,K Srinivasan,,Chennai Super Kings,Sunrisers Hyderabad,0,1,0
552,2015,Mohali,2015-03-05,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,23,0,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",RK Illingworth,VA Kulkarni,,Mumbai Indians,Punjab Kings,1,0,1
